,N,Commands,G,M,X,Y,Z,I,J,F,delta_xy,delta_X,delta_Y,delta_Z,delta_S,F_val,D_W,Werkzeug,Bearbeitung,S,D,T=,TurnOp,Toolchange,TURN,GCode,ENERGY|x,ENERGY|y,ENERGY|z,ENERGY|S,ENERGY|T
0,,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,FLOOR_WALL_IPW,0,,,0,0,,"MSG(""FLOOR_WALL_IPW , Tool : T_A_SK40_SF_DM16_A"")",0.0,0.0,0.0,0.0,0.0
1,N32,G0, G0  ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,D0,,0,0,,,0.0,0.0,0.0,0.0,0.0
2,N32,G0, G0  ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,D0,,0,0,,,0.0,0.0,0.0,0.0,0.0
3,N34,G0, G0  ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,,0.0,0.0,0.0,0.0,0.0
4,N34,G0, G0  ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,,0.0,0.0,0.0,0.0,0.0
5,,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,"T=""3D_TASTER""",0,1,,,0.0,0.0,0.0,0.0,0.0
6,,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,STOPRE,0.0,0.0,0.0,0.0,0.0
7,,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,STOPRE,0.0,0.0,0.0,0.0,0.0
8,,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,STOPRE,0.0,0.0,0.0,0.0,0.0
9,N021,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,_AUTOGEAR_2=($P_SAUTOGEAR[1] AND ($AC_SGEAR[1]>=2)),0.0,0.0,0.0,0.0,0.0
10,N390,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF NOT M_ENABLE_TOOLCHANGE AND NOT _SIM AND NOT $P_ISTEST AND NOT TESTRACK AND _POS GOTOF FEHLER4,0.0,0.0,0.0,0.0,0.10860392599999999
11,N394,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,STOPRE,0.0,0.0,0.0,0.0,0.476093968
12,N396,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,_MODE=STEP_OLD FAST=0 _TEST=_SIM OR $P_SEARCH OR $P_ISTEST OR TESTRACK,0.0,0.0,0.0,0.0,0.4656743999999999
13,N396,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,_MODE=STEP_OLD FAST=0 _TEST=_SIM OR $P_SEARCH OR $P_ISTEST OR TESTRACK,0.0,0.0,0.0,0.0,0.230432688
14,N464,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,    IF($AA_IM[_AX4]<$MN_USER_DATA_INT[83]-0.5)OR($AA_IM[_AX4]>$MN_USER_DATA_INT[84]+0.5),0.0,0.0,0.0,0.0,1.182620628
15,N480,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,GETSELT(T_PR),0.0,0.0,0.0,0.0,0.32300651399999997
16,N542,M27 M28,   ,M27 M28 ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,,0.0,0.0,0.0,0.0,3.274147914
17,N562,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF NOT M_ENABLE_TOOLCHANGE AND NOT _SIM AND NOT $P_ISTEST AND NOT TESTRACK AND NOT $P_SEARCH GOTOF FEHLER,0.0,0.0,0.0,0.0,2.485066244
18,N572,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,  IF ($AA_IM[_AX4]<$MN_USER_DATA_INT[83]-0.5) AND ($MA_POS_LIMIT_MINUS[AX4]>-360) GOTOF FEHLER3,0.0,0.0,0.0,0.0,3.000834708
19,N574,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,  IF ($AA_IM[_AX4]>$MN_USER_DATA_INT[84]+0.5) AND ($MA_POS_LIMIT_PLUS[AX4]<360) GOTOF FEHLER3,0.0,0.0,0.0,0.0,3.4777301819999997
20,N626,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,STOPRE,0.0,0.0,0.0,0.0,3.84281571
21,N638,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,STOPRE,0.0,0.0,0.0,0.0,4.615867276
22,N640,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,_H_EIN=($AC_MARKER[3]==9999),0.0,0.0,0.0,0.0,4.839487168
23,N796,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,  STEP=1,0.0,0.0,0.0,0.0,1.5076308980000002
24,N838,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,  FAST=1,0.0,0.0,0.0,0.0,1.6134295600000002
25,N841,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,STOPRE,0.0,0.0,0.0,0.0,6.110674094
26,N864,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,    IF SPINDLE_GEAR AND NOT SPINDLE_REF,0.0,0.0,0.0,0.0,6.485778436
